"arrival_date","destination_region","destination_city","length_of_stay","has_meal","purpose_trip","sell_price","user_id"
"2019-02-24","Russia","Moscow","4","1","business","16805","5895"
"2019-02-28","Western Europe","London","1","1","business","7100","14684"
"2019-02-19","Southern Europe","Madrid","3","1","business","19538","22824"
"2019-02-25","Western Europe","Nuremberg","2","1","business","28590","33129"
"2019-04-19","Russia","Moscow","3","1","leasure","12021","21568"
"2019-02-18","International","Vilnius","1","1","business","4755","18929"
"2019-02-19","Russia","Krasnodar","3","1","business","9510","17027"
"2019-03-28","International","Tel Aviv","4","1","leasure","42441","24435"
"2019-03-10","International","Guangzhou","3","1","business","14031","14262"
"2019-06-28","Southern Europe","Palma de Mallorca","18","1","leasure","277720","6763"
"2019-08-29","International","Playa del Carmen","3","1","leasure","27890","24993"
"2019-07-06","Russia","Yalta","2","1","leasure","12281","24864"
"2019-07-20","Southern Europe","Corfu","4","1","business","21895","19043"
"2019-08-05","Russia","Yekaterinburg","6","1","leasure","19988","19205"
"2019-07-22","Western Europe","Vienna","3","1","business","14698","13015"
"2019-02-20","Western Europe","London","4","0","leasure","51077","29356"
"2019-04-06","International","New York","2","1","leasure","75725","30817"
"2019-02-24","Western Europe","Paris","3","1","business","27643","25773"
"2019-07-27","Russia","Opolznevoe","14","1","leasure","434282","5928"
"2019-08-04","International","Fethiye","9","1","leasure","23136","17741"
"2019-08-11","Western Europe","Brussels","2","0","leasure","30152","18889"
"2019-06-12","International","Denver","1","1","leasure","19744","19266"
"2019-02-15","International","Punta del Este","2","1","leasure","9196","25720"
"2019-02-18","Western Europe","Hamburg","4","0","business","3552","18744"
"2019-03-01","Western Europe","Marne-la-Vallee","2","0","leasure","22619","17142"
"2019-02-15","International","Suncheon","1","1","business","3421","23161"
"2019-03-06","Western Europe","Baden","3","1","business","24841","15694"
"2019-02-14","Russia","Moscow","1","1","business","5079","5817"
"2019-02-17","Russia","Moscow","2","1","business","6821","18195"
"2019-04-12","Western Europe","Cambridge","2","1","leasure","13366","5945"
"2019-02-15","International","Istanbul","2","1","leasure","6414","6372"
"2019-03-28","International","Kolkata","5","1","business","11795","31748"
"2019-03-22","Southern Europe","Rome","5","0","leasure","21765","17286"
"2019-02-18","Russia","Vladivostok","1","1","business","3516","14684"
"2019-05-22","Southern Europe","Corfu","7","1","leasure","64849","19043"
"2019-02-18","Russia","Moscow","1","1","business","5243","22888"
"2019-04-23","International","Prague","4","1","business","13215","6118"
"2019-03-14","Western Europe","Garoupe Beach","1","0","business","27730","28396"
"2019-02-20","Russia","Maykop","2","1","business","4678","14684"
"2019-02-17","Russia","Saint Petersburg","2","1","business","11417","7621"
"2019-03-02","Russia","Krasnodar","4","1","business","18858","7516"
"2019-02-20","Western Europe","Vienna","3","1","business","30923","15898"
"2019-02-22","Russia","Arkhangelsk","1","1","business","3020","7132"
"2019-02-27","International","Gdynia","1","1","leasure","16685","30797"
"2019-03-15","Southern Europe","Malaga","3","1","leasure","31327","20654"
"2019-04-30","International","Kemer","8","1","leasure","92171","19683"
"2019-03-27","Southern Europe","Lisbon","3","1","business","57947","10663"
"2019-02-19","Russia","Novosibirsk","3","1","business","10835","15316"
"2019-02-14","Russia","Arkhangelsk","1","0","business","5496","16146"
"2019-02-14","Russia","Arkhangelsk","1","0","business","5496","12480"
"2019-02-20","Western Europe","London","3","1","business","50494","23995"
"2019-02-19","Arabia","Dubai","4","1","business","233572","7516"
"2019-02-14","Russia","Chelyabinsk","1","1","business","2850","33314"
"2019-02-14","Southern Europe","Barcelona","1","0","business","24069","18551"
"2019-02-26","Russia","Volgograd","3","1","business","9452","14684"
"2019-02-28","International","Bucharest","1","1","business","7627","10663"
"2019-03-11","Russia","Krasnoyarsk","2","1","business","30856","11398"
"2019-07-17","Western Europe","Berlin","2","1","business","18217","34642"
"2019-05-19","Southern Europe","Rome","2","1","leasure","12003","15501"
"2019-04-09","International","Warsaw","3","0","leasure","71047","27519"
"2019-04-28","Southern Europe","Bologna","1","1","business","7497","17481"
"2019-02-21","Western Europe","Frankfurt","1","1","business","8234","22888"
"2019-03-14","Southern Europe","Castiglione di Sicilia","7","1","leasure","109919","11275"
"2019-02-26","Western Europe","Geneva","4","1","business","35634","23975"
"2019-03-03","Southern Europe","Barcelona","5","1","business","37372","18971"
"2019-02-19","Russia","Moscow","3","1","business","11805","11398"
"2019-02-27","Western Europe","Erlangen","2","1","business","49127","12284"
"2019-02-18","Arabia","Dubai","2","1","business","58560","20421"
"2019-02-20","Russia","Dubna","1","1","business","3808","26582"
"2019-06-03","International","Hong Kong","4","0","business","7505","16332"
"2019-04-19","International","Prague","3","1","leasure","18292","16567"
"2019-03-02","Arabia","Abu Dhabi","2","1","leasure","23944","22992"
