"arrival_date","destination_region","destination_city","length_of_stay","has_meal","purpose_trip","sell_price","user_id","partner_geo"
"2019-04-16","Russia","Saint Petersburg","2","1","business","4858","16674","Russia"
"2019-04-17","Russia","Naberezhnye Chelny","2","1","business","4858","7516","Russia"
"2019-04-17","Russia","Moscow","2","1","business","32815","12501","Russia"
"2019-04-22","Russia","Arkhangelsk","2","1","business","12126","25576","Russia"
"2019-05-21","Russia","Krasnodar","3","1","business","26388","15362","Russia"
"2019-04-28","Western Europe","Paris","4","1","business","60918","21359","CIS"
"2019-04-15","International","Las Vegas","1","0","business","2312","30327","International"
"2019-05-23","Western Europe","Amsterdam","3","0","leasure","35252","12022","Russia"
"2019-05-26","Western Europe","Brussels","3","0","business","17176","12022","Russia"
"2019-05-06","Southern Europe","Athens","5","1","business","35710","21937","Russia"
"2019-04-17","Arabia","Riyadh","1","1","business","9687","10130","Russia"
"2019-05-04","International","Tel Aviv","7","1","leasure","85344","21261","Russia"
"2019-04-22","International","Bucharest","1","1","business","8869","20778","Balkans"
"2019-05-22","Western Europe","Rueil-Malmaison","2","1","business","28287","22888","Russia"
"2019-04-20","Western Europe","Dublin","2","1","leasure","21584","21732","Russia"
"2019-04-24","Southern Europe","Rome","2","1","business","11347","6379","Russia"
"2019-04-24","International","Tokyo","2","1","business","10259","22905","Russia"
"2019-05-26","Russia","Moscow","5","1","business","84013","22888","Russia"
"2019-06-06","Southern Europe","Sant Antoni de Portmany","3","1","leasure","118408","30437","Visegrad Group"
"2019-05-11","International","Bucharest","4","1","business","28450","32186","Visegrad Group"
"2019-05-03","International","Warsaw","4","0","business","10766","6189","Russia"
"2019-04-22","Southern Europe","Belgrade","3","1","business","29848","7516","Russia"
"2019-05-29","International","Warsaw","1","1","business","5230","20029","Baltic States"
"2019-04-21","Arabia","Fintas","3","0","business","35577","22015","Arabia"
"2019-08-13","International","Istanbul","4","1","leasure","61960","25640","Visegrad Group"
"2019-07-05","Western Europe","London","5","1","business","39587","31304","Southern Europe"
"2019-04-30","International","Budapest","5","1","business","23798","16002","Russia"
"2019-04-29","Russia","Krasnaya Polyana","8","1","leasure","69997","34155","Russia"
"2019-06-02","International","Helsinki","7","0","leasure","26356","31881","Russia"
"2019-04-17","Russia","Khabarovsk","2","1","business","7940","17027","Russia"
"2019-04-24","Russia","Novosibirsk","1","1","business","2787","6738","Russia"
"2019-05-10","Western Europe","Juan-les-Pins","7","0","leasure","51968","23455","Russia"
"2019-05-05","International","Manila","6","1","leasure","65532","22824","Visegrad Group"
"2019-05-27","Western Europe","Monaco","3","1","business","63099","30760","Southern Europe"
"2019-04-17","International","Antalya","1","1","business","9296","16294","Russia"
"2019-06-18","International","Prague","2","1","business","10277","26303","International"
"2019-04-27","Russia","Moscow","1","1","leasure","6608","24813","Russia"
"2019-04-17","International","Istanbul","2","1","leasure","42539","35853","International"
"2019-07-15","Russia","Sochi","5","1","business","19178","17703","CIS"
"2019-05-06","Southern Europe","Milan","3","1","business","50051","34802","International"
"2019-05-12","Russia","Moscow","4","1","business","14633","6651","Russia"
"2019-05-18","Russia","Khimki","1","0","leasure","3781","9228","Russia"
"2019-04-21","Western Europe","Paris","2","0","leasure","124822","11219","Russia"
