"arrival_date","destination_region","destination_city","length_of_stay","has_meal","purpose_trip","sell_price","user_id","partner_geo"
"2019-05-06","International","Istanbul","3","1","leasure","50500","6839","Russia"
"2019-04-15","Russia","Saint Petersburg","4","1","business","13178","27220","CIS"
"2019-04-22","Russia","Yakutsk","2","1","business","11601","22683","Russia"
"2019-04-25","Russia","Tyumen","2","1","business","6331","29826","Russia"
"2019-06-26","Southern Europe","Limassol","4","1","business","43471","33487","Balkans"
"2019-04-21","Russia","Moscow","6","1","leasure","21512","5789","Russia"
"2019-06-05","Western Europe","Frankfurt","10","0","leasure","88513","18795","CIS"
"2019-04-23","Russia","Rybinsk","2","1","business","5671","29826","Russia"
"2019-05-01","Southern Europe","Rome","3","1","leasure","32762","25640","Visegrad Group"
"2019-04-24","International","Jerusalem","7","1","leasure","126712","24821","Russia"
"2019-04-30","International","Johanneshov","1","1","leasure","41838","16155","Russia"
"2019-07-11","Western Europe","London","4","1","leasure","31742","31304","Southern Europe"
"2019-06-13","Southern Europe","Porec","6","1","leasure","113978","10650","Russia"
"2019-07-09","Western Europe","London","2","1","business","56202","22824","Visegrad Group"
"2019-04-23","CIS","Tashkent","3","1","business","9392","20402","Russia"
"2019-04-26","Southern Europe","Nazare","7","1","leasure","38079","34026","Visegrad Group"
"2019-06-19","Southern Europe","Figueres","2","1","business","8354","21325","Russia"
"2019-05-07","Western Europe","Dorking","3","1","business","31182","25203","CIS"
"2019-04-16","International","Tallinn","1","1","business","3487","20630","Baltic States"
"2019-04-16","CIS","Baku","3","1","business","12761","5906","Russia"
"2019-04-16","Russia","Moscow","4","1","business","10497","7516","Russia"
"2019-04-17","Southern Europe","Athens","1","1","business","10832","18390","Baltic States"
"2019-04-23","Russia","Perm","1","1","business","4111","20784","Russia"
"2019-04-24","Russia","Izhevsk","2","1","business","7447","14806","Russia"
"2019-04-24","Russia","Chelyabinsk","1","1","business","4358","14806","Russia"
"2019-04-24","Russia","Moscow","2","1","business","22533","7588","Russia"
"2019-04-29","Russia","Tomsk","1","1","business","5359","14393","Russia"
"2019-05-04","International","Tokyo","1","1","leasure","12740","23776","Russia"
"2019-04-17","Russia","Moscow","4","1","leasure","32907","16339","Western Europe"
"2019-04-19","Western Europe","London","3","1","leasure","44821","29158","Balkans"
"2019-07-15","Western Europe","Paris","9","1","leasure","47542","25936","Arabia"
"2019-05-22","Western Europe","Plymouth","2","1","business","19870","11539","Russia"
"2019-05-09","Southern Europe","Larnaca","3","1","leasure","35014","27537","Balkans"
"2019-06-15","Southern Europe","Athens","1","1","leasure","26073","11271","Russia"
"2019-06-27","Southern Europe","Lisbon","5","1","business","23972","37404","International"
"2019-06-08","Southern Europe","Ayia Napa","10","1","leasure","37266","18766","International"
"2019-04-18","Russia","Yaroslavl","1","1","business","3857","10579","Russia"
"2019-05-02","Russia","Saint Petersburg","4","1","leasure","17079","28396","Russia"
"2019-05-05","Southern Europe","San Juan de Aznalfarache","1","1","business","5385","28396","Russia"
"2019-04-16","Russia","Moscow","2","1","business","16721","10194","Russia"
"2019-05-05","Western Europe","Bonn","7","1","leasure","126710","6236","Russia"
"2019-05-20","International","Vilnius","1","1","business","5452","22905","Russia"
"2019-07-11","Southern Europe","Noicattaro","3","1","leasure","19831","29367","Western Europe"
"2019-04-19","Russia","Saint Petersburg","1","1","business","3135","8835","Russia"
"2019-04-28","International","Jerusalem","2","1","business","30883","18977","Russia"
"2019-04-16","Russia","Moscow","1","1","business","4058","18195","Russia"
"2019-04-17","Russia","Volzhskiy","2","1","business","8187","16516","Russia"
"2019-04-17","CIS","Karaganda","2","1","business","18262","6268","Russia"
"2019-04-21","Russia","Moscow","1","1","business","3463","17088","Russia"
"2019-05-08","Western Europe","Amsterdam","3","1","business","169328","7013","Russia"
"2019-04-16","Russia","Moscow","1","1","business","10054","35902","Russia"
"2019-04-21","Western Europe","Berlin","2","0","business","11457","25862","International"
"2019-04-18","Russia","Moscow","6","0","leasure","16591","26126","Russia"
"2019-04-21","Southern Europe","Skopje","2","0","business","12794","24521","International"
"2019-04-21","Russia","Saint Petersburg","5","1","business","23249","21468","Russia"
"2019-04-22","Russia","Yalta","1","1","business","3391","9954","Russia"
"2019-04-25","Western Europe","London","1","1","business","10243","19543","Russia"
"2019-04-18","Russia","Velikiy Novgorod","1","1","business","3557","16741","Russia"
"2019-06-03","International","Istanbul","6","1","leasure","17866","23316","Russia"
"2019-05-23","International","Prague","8","1","leasure","83196","16695","CIS"
"2019-05-14","Western Europe","Cologne","1","1","business","5842","23558","International"
"2019-07-16","International","Semarang","2","1","business","4605","35354","Visegrad Group"
"2019-04-27","Southern Europe","Milan","1","1","leasure","13085","29356","Southern Europe"
"2019-05-13","Western Europe","Amsterdam","2","0","business","16647","35673","International"
"2019-05-01","Western Europe","Vienna","7","1","leasure","57167","21024","CIS"
"2019-04-16","Russia","Cherepovets","2","1","business","4468","16297","Russia"
"2019-06-02","Russia","Novokuznetsk","7","0","leasure","46002","21468","Russia"
"2019-06-26","Western Europe","Paris","4","1","business","72298","23937","Russia"
"2019-05-21","Russia","Krasnodar","3","1","business","19652","5892","Russia"
"2019-05-08","Western Europe","Munich","1","0","business","10896","27219","Balkans"
"2019-07-15","Western Europe","Montreux","1","0","leasure","11308","18889","International"
"2019-04-17","Russia","Saint Petersburg","2","1","business","5391","32177","Russia"
"2019-07-10","Southern Europe","Heraklion","9","0","leasure","30403","17481","Russia"
"2019-04-17","Russia","Krasnaya Polyana","1","1","business","12995","14684","Russia"
"2019-04-24","International","Mumbai","1","1","business","13064","14684","Russia"
"2019-04-16","CIS","Minsk","1","1","business","15016","14684","Russia"
"2019-04-29","Western Europe","Nice","16","1","leasure","91707","6988","Russia"
"2019-04-16","Western Europe","Strasbourg","2","1","business","16713","14684","Russia"
"2019-04-24","Western Europe","Paris","11","1","leasure","200809","6854","Russia"
"2019-05-08","Western Europe","Paris","14","1","leasure","160083","35657","Russia"
"2019-04-19","Russia","Ulyanovsk","1","1","business","2102","14684","Russia"
"2019-04-23","CIS","Almaty","3","1","business","17037","14684","Russia"
"2019-04-29","Russia","Ufa","1","1","business","4079","6854","Russia"
"2019-05-29","Russia","Moscow","1","1","business","8921","6854","Russia"
"2019-06-23","Southern Europe","Agios Stefanos","1","1","business","15159","15959","International"
"2019-05-01","Western Europe","Montrouge","9","1","leasure","46898","6689","Russia"
"2019-06-14","Western Europe","Paris","10","1","leasure","151921","23336","Russia"
"2019-05-02","Southern Europe","Cascais","8","1","leasure","129846","37013","Russia"
"2019-07-29","International","Tokyo","15","1","leasure","98563","19520","CIS"
"2019-05-27","Russia","Moscow","3","1","leasure","19647","18002","Russia"
"2019-04-20","International","Hong Kong","4","1","business","152316","6854","Russia"
"2019-09-28","Western Europe","Nice","3","0","business","21551","6103","Russia"
"2019-04-17","Arabia","Beirut","3","0","business","42599","20278","Arabia"
"2019-05-08","International","Rio de Janeiro","1","1","business","3955","19184","Arabia"
"2019-05-10","Western Europe","London","2","0","leasure","43292","35065","Balkans"
"2019-04-18","Southern Europe","Venice","3","1","leasure","39037","22251","Balkans"
"2019-04-23","CIS","Bishkek","2","1","business","5479","28879","Russia"
"2019-05-23","Western Europe","London","3","1","leasure","44929","6686","Russia"
"2019-05-06","Western Europe","Nice","8","1","leasure","68684","8831","Russia"
"2019-06-23","Southern Europe","Naples","5","1","business","25282","24821","Russia"
"2019-04-16","Russia","Tomsk","2","1","business","3345","10169","Russia"
"2019-04-17","Russia","Yaroslavl","1","1","business","3046","27925","Russia"
"2019-04-16","Western Europe","Lancy","1","0","leasure","17866","22824","Visegrad Group"
"2019-04-16","Russia","Krasnodar","1","1","business","2771","16751","Russia"
"2019-04-17","Russia","Moscow","1","1","business","4410","5892","Russia"
"2019-04-17","Russia","Moscow","2","1","business","6828","30760","Southern Europe"
"2019-04-24","Western Europe","Manchester","1","0","business","6392","24763","Western Europe"
"2019-11-01","Arabia","Dubai","5","1","business","190185","15628","Russia"
"2019-09-12","International","North Syracuse","1","1","business","7633","21579","Western Europe"
"2019-06-02","Southern Europe","Rome","4","1","business","236056","25720","International"
"2019-04-15","Russia","Moscow","1","0","business","690","28396","Russia"
"2019-04-18","Russia","Kaliningrad","1","1","business","3822","6579","Russia"
"2019-05-24","Southern Europe","Thessaloniki","2","0","leasure","9250","36134","International"
"2019-05-04","Southern Europe","Cornella de Llobregat","8","0","leasure","63437","17037","Russia"
"2019-04-18","Southern Europe","Piraeus","5","1","leasure","17790","21781","Russia"
"2019-04-18","Russia","Kyzyl","1","1","business","5058","28396","Russia"
"2019-04-23","International","Mwanza","2","1","business","12159","30319","International"
"2019-04-23","Arabia","Tunis","1","1","business","6045","23887","International"
"2019-04-27","CIS","Yerevan","3","1","business","14509","16880","Russia"
"2019-04-22","International","Singapore","1","1","business","45266","687","Russia"
"2019-05-03","International","Tbilisi","3","1","leasure","48879","12995","Russia"
"2019-04-19","International","Riga","2","1","leasure","39862","12161","Russia"
"2019-04-19","International","Riga","2","1","leasure","39862","12161","Russia"
"2019-05-01","International","Bytom","30","0","leasure","63282","7084","Russia"
"2019-04-25","Russia","Nizhniy Novgorod","3","0","leasure","1396","18537","Russia"
"2019-07-10","Russia","Saint Petersburg","4","1","leasure","18480","19848","Russia"
"2019-05-02","Western Europe","Frankfurt","9","0","leasure","161338","13309","CIS"
"2019-05-09","Western Europe","Paris","7","1","leasure","86510","7389","Russia"
"2019-07-12","Russia","Saint Petersburg","2","1","leasure","49582","6519","Russia"
"2019-05-16","International","Los Angeles","6","1","leasure","78452","13921","CIS"
"2020-01-01","Russia","Tula","5","0","business","10901","19503","Russia"
"2019-11-20","Southern Europe","Venice","4","1","leasure","36929","19043","Baltic States"
"2019-04-16","Western Europe","Berlin","3","1","business","24432","13729","Russia"
"2019-05-15","International","Warsaw","4","1","business","26151","34543","Visegrad Group"
"2019-04-17","Russia","Moscow","1","1","business","7536","7516","Russia"
"2019-04-17","Russia","Ufa","1","1","business","4799","22888","Russia"
"2019-05-22","Russia","Saint Petersburg","1","1","business","12880","14393","Russia"
"2019-04-16","Russia","Perm","3","1","business","9093","8835","Russia"
"2019-04-24","International","Beijing","2","1","business","12649","6684","Russia"
"2019-04-24","International","Tokyo","11","1","leasure","145822","32561","Russia"
"2019-04-30","International","Istanbul","5","1","business","23356","20287","Russia"
"2019-04-17","International","Istanbul","7","1","leasure","34275","22888","Russia"
"2019-04-15","Russia","Moscow","1","1","business","2530","25105","Russia"
"2019-05-15","Arabia","Kuwait City","1","1","business","5863","21768","Arabia"
"2019-05-02","Russia","Novosibirsk","1","1","business","11474","7131","Russia"
"2019-04-17","Russia","Moscow","2","1","business","23825","16389","CIS"
"2019-04-20","International","Tel Aviv","2","1","leasure","31986","24292","Baltic States"
"2019-04-19","CIS","Chisinau","3","1","leasure","27877","26356","CIS"
"2019-05-15","International","Prague","4","1","business","56847","30642","International"
"2019-05-29","CIS","Baku","1","1","business","29461","9554","Russia"
"2019-04-21","Russia","Omsk","3","1","business","15905","14684","Russia"
"2019-04-27","Arabia","Medina","5","1","business","41945","29062","Western Europe"
"2019-04-19","Arabia","Abu Dhabi","2","1","leasure","9683","21769","Arabia"
"2020-04-08","International","Anaheim","6","0","leasure","39079","18744","Arabia"
"2019-05-11","International","New York","3","1","leasure","98356","33710","Visegrad Group"
"2019-04-22","International","Ashkelon","3","1","business","25511","14684","Russia"
"2019-05-09","International","Haderslev","1","1","business","8944","5782","Russia"
"2019-04-23","International","Hong Kong","1","1","business","39301","6854","Russia"
"2019-04-17","Russia","Cheboksary","2","1","business","6639","14130","Russia"
"2019-04-18","Russia","Moscow","1","1","business","8985","16741","Russia"
"2019-04-25","Russia","Moscow","3","1","leasure","45222","31951","CIS"
"2019-05-03","International","Cambridge","7","0","leasure","131484","35062","Visegrad Group"
"2019-04-24","Russia","Sochi","2","1","business","28743","5912","Russia"
"2019-04-18","Western Europe","Slough","1","1","business","6910","4016","CIS"
"2019-04-26","Southern Europe","Lido di Jesolo","2","1","leasure","10004","24183","Balkans"
"2019-04-16","Russia","Moscow","1","1","business","4440","21468","Russia"
"2019-05-10","Southern Europe","Kalamata","5","1","business","13449","35673","International"
"2019-04-16","Russia","Khabarovsk","1","1","business","6528","5817","Russia"
"2019-05-08","Southern Europe","Opatija","4","1","business","52449","19274","Baltic States"
"2019-06-15","Southern Europe","Venice","6","1","leasure","60657","16716","Western Europe"
"2019-04-23","Russia","Moscow","1","1","leasure","10221","21468","Russia"
"2019-06-07","International","New York","4","0","leasure","68172","18889","International"
"2019-04-15","Southern Europe","Mahon","1","0","business","5696","25154","Balkans"
"2019-05-26","Russia","Yekaterinburg","4","1","business","12069","14273","Russia"
"2019-04-17","Russia","Moscow","3","0","business","41169","21614","CIS"
"2019-04-19","International","Stockholm","1","0","business","1309","29100","International"
"2019-07-23","International","San Francisco","5","0","leasure","111380","19278","International"
"2019-06-16","Western Europe","Paris","7","1","leasure","202382","15877","CIS"
"2019-04-30","CIS","Goris","1","1","leasure","5250","22633","Russia"
"2019-05-07","Russia","Moscow","3","1","leasure","28799","17954","Russia"
"2019-05-06","International","Chicago","1","0","business","11262","30935","International"
"2019-04-17","Russia","Anapa","3","1","business","22362","5824","Russia"
"2019-05-01","International","New Delhi","4","1","business","27314","36834","Russia"
"2019-04-27","Western Europe","Paris","9","0","leasure","88204","35032","Russia"
"2019-04-22","Southern Europe","Ayia Napa","20","0","leasure","82609","36304","Russia"
"2019-04-23","Russia","Kazan","4","1","business","10131","14806","Russia"
"2019-07-15","Russia","Yekaterinburg","1","0","business","2518","10169","Russia"
"2019-06-05","Western Europe","Nice","15","1","leasure","177642","13636","Russia"
"2019-05-06","International","Tamuning","2","0","leasure","27327","19184","Arabia"
"2019-04-24","Russia","Yekaterinburg","3","1","business","11175","15692","Russia"
"2019-04-17","Russia","Moscow","1","1","business","8555","6137","Russia"
"2019-04-16","Russia","Rostov-on-Don","1","1","business","2994","10388","Russia"
"2019-04-24","Russia","Yekaterinburg","1","1","business","4896","34514","Russia"
"2019-05-13","Western Europe","Paris","4","0","business","24132","5792","Russia"
"2019-05-13","Western Europe","Paris","1","1","leasure","11709","24815","Western Europe"
"2019-04-17","Russia","Sochi","3","1","business","14591","12742","Russia"
"2019-04-26","Western Europe","Paris","8","0","leasure","152484","8415","Russia"
"2019-04-17","Russia","Moscow","1","1","business","12078","25044","Russia"
"2019-05-01","Western Europe","Paris","11","1","leasure","127878","13636","Russia"
"2019-04-23","Western Europe","Strasbourg","1","1","business","7558","24815","Western Europe"
"2019-04-17","Russia","Moscow","1","1","business","8878","5789","Russia"
"2019-06-26","Southern Europe","Venice","3","1","business","40244","33487","Balkans"
"2019-05-14","International","Cluj-Napoca","3","1","business","81287","33487","Balkans"
"2019-05-14","International","Cluj-Napoca","3","1","business","48380","33487","Balkans"
"2019-04-24","International","Seoul","2","0","business","845","6742","Russia"
"2019-05-06","Southern Europe","Milan","3","1","business","49179","34802","International"
"2019-05-02","International","Jurmala","9","1","leasure","40113","22893","Russia"
"2019-04-18","Russia","Rybinsk","1","1","business","3232","20402","Russia"
"2019-04-23","International","Bogazkent","22","1","leasure","104748","7453","Russia"
"2019-04-18","Russia","Moscow","2","1","business","14123","7749","Russia"
"2019-04-18","Russia","Ufa","1","1","business","5152","10194","Russia"
"2019-04-24","Western Europe","London","6","0","leasure","61970","30907","Arabia"
"2019-05-09","Russia","Khimki","1","1","business","3756","22445","Russia"
"2019-04-17","Russia","Kaluga","1","1","business","5013","10579","Russia"
"2019-05-29","Southern Europe","Milan","2","0","business","18061","37065","Western Europe"
"2019-05-12","Russia","Krasnaya Polyana","2","1","business","17421","28396","Russia"
"2019-04-16","Russia","Yekaterinburg","1","1","business","5438","28396","Russia"
"2019-04-22","Russia","Perm","1","1","business","2418","7699","Russia"
"2019-04-17","Russia","Chelyabinsk","2","1","business","6018","6144","Russia"
"2019-05-08","Southern Europe","Lisbon","4","1","business","30452","6519","Russia"
"2019-04-22","International","Mexico City","5","1","business","88201","11398","Russia"
"2019-08-09","International","Saint-Alexis-des-Monts","3","1","leasure","90142","33476","Western Europe"
"2019-05-20","Russia","Kazan","2","1","business","11194","14393","Russia"
"2019-05-02","Russia","Saint Petersburg","2","0","leasure","11433","24518","CIS"
"2019-04-17","Russia","Cheboksary","1","1","business","3508","7516","Russia"
"2019-04-15","Russia","Saint Petersburg","4","1","business","8762","7516","Russia"
"2019-04-15","International","Harryda","1","1","business","9654","5799","Russia"
"2019-04-18","Russia","Moscow","2","1","business","31917","12501","Russia"
"2019-04-20","Arabia","Dubai","2","0","leasure","89034","33309","Russia"
"2019-04-18","Russia","Saint Petersburg","1","1","business","16223","19627","Russia"
"2019-04-29","Arabia","Dubai","4","1","business","41178","6717","CIS"
"2019-04-16","Russia","Tula","3","1","business","8584","33314","Russia"
"2019-05-15","Western Europe","Munich","2","1","business","41995","10542","Russia"
"2019-04-23","Russia","Tomsk","3","1","business","6709","10542","Russia"
"2019-05-07","Western Europe","London","3","1","leasure","110151","32221","Balkans"
"2019-04-16","Russia","Podolsk","1","0","business","2125","8835","Russia"
"2019-04-21","Russia","Moscow","2","1","business","6866","22888","Russia"
"2019-05-26","Southern Europe","Bari","7","1","leasure","73006","23695","Western Europe"
"2019-04-24","Russia","Belgorod","2","1","business","7529","6236","Russia"
"2019-05-10","Western Europe","Berlin","10","0","leasure","10556","6189","Russia"
"2019-05-08","Western Europe","Nice","6","0","leasure","22423","6442","Russia"
"2019-04-16","Southern Europe","Porto","1","0","business","19029","22888","Russia"
"2019-09-02","International","Goreme","1","0","business","9929","6379","Russia"
"2019-09-22","Southern Europe","Santorini Island","7","1","leasure","207686","27435","Visegrad Group"
"2019-04-16","Southern Europe","Bari","3","1","business","12058","29356","Southern Europe"
"2019-07-14","International","Probolinggo","2","1","business","5047","35354","Visegrad Group"
"2019-04-23","Southern Europe","Fiumicino","1","0","leasure","4434","29356","Southern Europe"
"2019-08-27","Western Europe","Beauvais","1","0","business","6102","29356","Southern Europe"
"2019-04-17","Arabia","Dubai","2","1","business","15166","14181","Russia"
"2019-05-02","Southern Europe","Rome","1","1","business","1157","19411","International"
"2019-05-30","International","Miami","2","1","leasure","14142","25368","CIS"
"2019-04-25","Russia","Moscow","1","1","business","2730","27087","Russia"
"2019-08-01","International","Calgary","3","0","leasure","27428","15248","Arabia"
"2019-04-24","Russia","Smolensk","2","1","business","7995","10579","Russia"
"2019-04-23","Western Europe","Paris","3","0","leasure","62610","21767","Western Europe"
"2019-05-06","Western Europe","Paris","4","0","business","46742","6101","Russia"
"2019-05-16","International","Istanbul","4","1","leasure","25370","15501","International"
"2019-04-25","Russia","Perm","1","1","business","4254","7213","Russia"
"2020-03-03","Western Europe","Berlin","3","1","business","44385","22873","Western Europe"
"2020-01-04","International","Vilnius","3","1","leasure","18767","15440","Russia"
"2019-06-01","Western Europe","Frankfurt","14","1","leasure","276748","19149","CIS"
"2019-04-26","Western Europe","Nice","18","1","leasure","110247","28805","CIS"
"2019-05-26","International","Pattaya","30","0","leasure","41521","13940","Russia"
"2019-04-21","International","Singapore","7","1","leasure","125511","15194","CIS"
"2019-04-22","International","Bangkok","3","1","business","22931","33014","International"
"2019-06-02","Western Europe","Amsterdam","4","0","business","22375","21732","Russia"
"2019-06-15","International","Prague","7","1","leasure","31075","6675","Russia"
"2019-04-21","Russia","Krasnoyarsk","6","0","leasure","9640","7516","Russia"
"2019-04-22","Western Europe","Vienna","3","1","business","24496","7516","Russia"
"2019-04-18","Russia","Belgorod","1","1","business","3752","22888","Russia"
"2019-06-15","Western Europe","London","4","1","leasure","90729","22905","Russia"
"2019-04-21","International","Sofia","4","1","business","19463","26942","CIS"
"2019-05-13","Southern Europe","Sant Joan Despi","11","0","leasure","59513","32248","Russia"
"2019-05-21","Southern Europe","Larnaca","4","1","business","36367","18968","CIS"
"2019-05-15","Southern Europe","Sithonia","12","1","leasure","48583","6217","Russia"
"2019-05-22","Western Europe","Paris","9","1","leasure","189900","32248","Russia"
"2019-04-23","Russia","Saint Petersburg","1","1","business","10822","22888","Russia"
"2019-06-04","Southern Europe","Arona","29","0","leasure","311255","6189","Russia"
"2019-04-17","Russia","Koreiz","1","1","business","2391","22888","Russia"
"2019-04-16","Russia","Moscow","1","0","business","6988","7516","Russia"
"2019-05-06","International","New York","3","0","business","60293","34543","Visegrad Group"
"2019-04-16","Russia","Ufa","3","1","business","19923","5892","Russia"
"2019-06-06","Western Europe","Dusseldorf","6","1","leasure","70841","22682","CIS"
"2019-05-30","Russia","Kazan","3","1","leasure","16274","19683","Russia"
"2019-12-30","International","Cam Lam","8","1","leasure","223935","13020","Russia"
"2019-05-08","Russia","Saint Petersburg","6","0","leasure","13274","6268","Russia"
"2019-04-19","International","Istanbul","8","1","leasure","30768","12216","CIS"
"2019-06-15","Western Europe","Nice","13","1","leasure","304845","6177","Russia"
"2019-05-31","Southern Europe","Milan","5","1","leasure","40896","21353","Russia"
"2019-05-19","Southern Europe","Madrid","11","0","leasure","40013","28846","Russia"
"2019-04-21","Southern Europe","Lazise","2","1","leasure","34094","29356","Southern Europe"
"2019-04-24","International","Karachi","1","1","business","9209","9760","Russia"
"2019-04-19","Southern Europe","Florence","2","1","leasure","20863","29356","Southern Europe"
"2019-05-16","Russia","Saint Petersburg","3","1","leasure","16780","7213","Russia"
"2019-04-16","Russia","Saint Petersburg","1","1","business","8740","21468","Russia"
"2019-04-21","International","Kuala Lumpur","5","1","leasure","52944","18810","International"
"2019-04-17","Russia","Saint Petersburg","1","1","business","2073","21468","Russia"
"2019-06-18","Southern Europe","Desenzano del Garda","10","1","leasure","179040","27307","Russia"
"2019-05-02","Arabia","Dubai","2","1","business","7997","14035","Arabia"
"2019-05-14","International","Singapore","2","1","business","24793","16741","Russia"
"2019-06-10","Southern Europe","Milan","5","0","leasure","1613904","34734","International"
"2019-05-10","International","Fujikawaguchiko","2","1","leasure","80572","33711","Russia"
"2019-04-17","Russia","Perm","3","1","business","8818","6019","Russia"
"2019-04-17","Russia","Ulyanovsk","2","1","business","5790","14684","Russia"
"2019-04-17","Russia","Perm","3","1","business","9823","6019","Russia"
"2019-05-26","Russia","Saint Petersburg","3","1","business","10068","18744","Arabia"
"2019-04-28","Western Europe","Manchester","5","1","business","57660","23620","Visegrad Group"
"2019-04-23","Russia","Nizhniy Novgorod","1","1","business","3686","14684","Russia"
"2019-04-24","Russia","Moscow","4","1","business","63122","11542","Russia"
"2019-05-02","Western Europe","Berlin","30","1","leasure","268559","24775","CIS"
"2019-05-25","Southern Europe","Venice","1","1","leasure","7921","15764","Russia"
"2019-04-16","International","Gdansk","1","1","business","6338","31976","Visegrad Group"
"2019-04-17","Russia","Saint Petersburg","2","1","business","7860","14684","Russia"
"2019-04-16","Russia","Tambov","1","1","leasure","11468","31247","Russia"
"2019-04-19","Russia","Omsk","2","1","leasure","9903","26582","Russia"
"2019-05-23","Russia","Kaluga","1","1","business","3489","14684","Russia"
"2019-04-17","Russia","Rostov-on-Don","1","1","business","2108","14684","Russia"
"2019-05-16","Western Europe","Roedermark","1","1","business","4678","25288","International"
"2019-06-20","Southern Europe","Venice","2","1","business","17829","13645","Russia"
"2019-06-29","Western Europe","Tremblay-en-France","1","0","leasure","4482","6689","Russia"
"2019-04-16","Russia","Saint Petersburg","1","1","business","6694","21433","Russia"
"2019-05-11","International","New York","3","1","leasure","155567","33710","Visegrad Group"
"2019-04-17","Russia","Moscow","2","1","business","5861","14684","Russia"
"2019-05-02","Southern Europe","Barcelona","3","0","leasure","25565","11621","International"
"2019-08-16","Southern Europe","Budva","7","0","leasure","35766","783","Baltic States"
"2019-04-17","Western Europe","Lommel","1","1","business","8006","14684","Russia"
"2019-05-20","Western Europe","Lille","2","1","business","15013","14684","Russia"
"2019-09-04","Southern Europe","Lloret de Mar","8","1","leasure","67630","24798","Baltic States"
"2019-06-04","International","Golkoy","2","1","business","47744","21768","Arabia"
"2019-08-09","Russia","Saint Petersburg","2","1","leasure","8572","18238","Russia"
"2019-07-02","International","Istanbul","4","1","business","29171","15959","International"
"2019-05-20","Western Europe","Vevey","3","0","business","39676","14684","Russia"
"2019-05-13","Russia","Peshki","5","1","business","22048","14684","Russia"
"2019-04-20","International","Istanbul","3","1","business","10406","33753","Russia"
"2019-04-19","Western Europe","Nice","5","1","business","34360","27072","Visegrad Group"
"2019-05-17","Western Europe","Montrouge","2","1","leasure","9661","27072","Visegrad Group"
"2019-06-10","Russia","Vladivostok","2","1","business","8838","21385","Russia"
"2019-04-23","International","Hong Kong","1","0","business","76194","6854","Russia"
"2019-04-18","Russia","Velikiy Novgorod","1","1","business","3517","11542","Russia"
"2019-05-02","International","Istanbul","4","1","leasure","30350","28504","Russia"
"2019-05-05","Western Europe","Paris","1","1","business","8142","34988","Balkans"
"2019-04-29","Russia","Moscow","1","0","business","5630","30401","Russia"
"2019-05-02","Russia","Vladivostok","19","0","leasure","33768","7749","Russia"
"2019-04-28","Southern Europe","Rome","7","1","leasure","179559","36839","CIS"
"2019-04-18","Russia","Saint Petersburg","1","1","business","6685","10584","Russia"
"2019-06-01","International","Ellaidhoo","9","1","leasure","46322","22925","Russia"
"2019-08-20","Western Europe","Vienna","5","1","business","74076","15385","CIS"
"2019-04-17","Russia","Kaliningrad","2","1","business","7624","14757","Russia"
"2019-05-12","CIS","Baku","7","1","leasure","17031","18466","Russia"
"2019-05-19","Southern Europe","Madrid","6","1","leasure","52448","15414","CIS"
"2019-04-24","Russia","Astrakhan","2","1","business","3759","9640","Russia"
"2019-05-21","International","Kusadasi","7","1","leasure","51209","37379","International"
"2019-05-06","CIS","Baku","3","0","leasure","37383","25680","Russia"
"2019-04-24","Russia","Lipetsk","2","1","business","6331","15316","Russia"
"2019-11-07","International","Hong Kong","3","1","leasure","16256","24807","International"
"2019-06-30","International","Budapest","4","1","leasure","43731","15385","CIS"
"2019-10-05","Southern Europe","Santander","2","1","leasure","13211","7033","Russia"
"2019-04-29","International","Manama","4","1","business","25242","21625","Arabia"
"2019-05-05","Western Europe","London","5","1","business","63898","19131","CIS"
"2019-04-15","Russia","Orenburg","1","1","business","4944","11539","Russia"
"2019-04-19","International","Budapest","1","1","business","3536","20329","CIS"
"2019-04-18","Russia","Moscow","1","0","business","3184","14806","Russia"
"2019-04-15","International","Istanbul","4","1","business","7836","34148","International"
"2019-04-15","CIS","Minsk","1","1","business","2773","31291","Russia"
"2019-04-18","Russia","Saint Petersburg","1","1","business","4193","8030","Russia"
"2019-04-27","International","Kuala Lumpur","1","1","leasure","2890","20329","CIS"
"2019-04-23","International","Thiruvananthapuram","12","1","leasure","42201","26990","CIS"
"2019-04-17","Russia","Moscow","1","1","business","3589","7588","Russia"
"2019-04-22","Southern Europe","Florence","4","0","business","23698","18961","International"
"2019-05-01","Western Europe","London","1","1","business","23428","14806","Russia"
"2019-05-19","Western Europe","Frankfurt","13","1","leasure","84063","21614","CIS"
"2019-04-28","International","Ningbo","2","1","business","9972","23459","Russia"
"2019-05-13","Russia","Irkutsk","4","1","business","11235","7516","Russia"
"2019-05-04","International","Noboribetsu","3","1","business","62471","12161","Russia"
"2019-06-02","Southern Europe","Rome","4","1","leasure","236056","25720","International"
"2019-04-20","Russia","Novosibirsk","1","1","leasure","4432","28396","Russia"
"2019-05-05","Western Europe","Paris","7","1","leasure","38743","21833","Russia"
"2019-04-19","Russia","Krasnodar","2","0","leasure","8825","28396","Russia"
"2019-04-25","Russia","Khimki","3","1","leasure","12112","22445","Russia"
"2019-06-06","Western Europe","Paris","2","1","business","38190","12995","Russia"
"2019-08-14","International","Istanbul","2","1","business","9998","30319","International"
"2019-05-28","International","Budapest","2","0","business","14672","18393","Russia"
"2019-05-03","Southern Europe","Lisbon","5","1","leasure","108164","8617","Russia"
