3932;1602;78194
5600;131902;117633
11815;75070;120535
25200;4337;108090
23000;122798;83
924;123415;59640
1041;4230;118349
68479;35882;224815
1760;145849;893115
17000;2200;39888
18588;128734;145596
18000;7566;30222
11402;1393;31871
4308;3318;93517
3697;8199;66884
3586;3116;53344
11079;20016;156983
61402;6717;66101
2388;20995;50238
3244;3838;56492
82277;60171;62622
9972;10250;12011
75819;311;70895
64722;70905;63128
94971;649;53013
4929;26455;23000
158927;138021;110626
109947;86598;2500
58195;15158;11500
6732;129440;17000
16201;82456;3347
23000;18588;4352
1249;13941;18588
